Zipcode,Total_Population,Men,Women,Under_5_Years,5_to_9_Years,10_to_14_Years,15_to_19_Years,20_to_24_Years,25_to_34_Years,35_to_44_Years,45_to_54_Years,55_to_59_Years,60_to_64_Years,65_to_74_Years,75_to_84_Years,85_Years_and_Over,Median_age_(years),Hispanic_%,White_%,Black_%,Native_Indian_%,Asian_%,Pacific_Islander_%,Other_Ethnicity_%,Total_Housing_Units,Citizen,Citizen_Male_%,Citizen_Female_%,Median_Household_Income,Mean_Household_Income,Income_Per_Capita,Median_Earnings_for_Workers,Median_Earnings_for_Male_Full-time_Workers,Median_Earnings_for_Female_Full-time_Workers,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_Under_18_Years_Old,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_18_Years_Old_and_Over,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_18_to_64_Years,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_65_Years_and_Over,Management_Business_Science_and_Arts_Occupations_%,Service_Occupations_%,Sales_and_Office_Occupations_%,Natural_Resources_Construction_and_Maintenance_Occupations_%,Production_Transportation_and_Material_Moving_Occupations_%,Drive_%,Carpool_%,Public_Transportation_%,Walk_%,Other_Transporation_%,Work_At_Home_%,Average_Commute_Time_in_Minutes,Employed,Private_Wage_and_Salary_Workers_%,Government_Workers_%,Self_Employed_%,Unpaid_Family_Workers_%,Unemployment_Rate
98077,14246,7174,7072,692,908,1239,1342,489,879,2007,2786,1375,1208,988,247,86,42.9,4.6,86.7,0.7,0.1,5.4,0,0.2,4923,9700,49.9,50.1,137900,179981,61341,60266,108640,62438,4,4.7,3.7,3.8,3.3,59.4,7.4,21.8,4.7,6.7,77.2,7.9,2.3,1.7,0.5,10.3,30.2,7038,83.4,7.3,8.5,0.7,4.5
98092,42380,20649,21731,2392,3167,2641,3602,3227,5586,5035,6654,3164,2311,2761,1255,585,36.2,7.6,67.5,3.3,2.9,10.8,0.5,0.2,16100,29443,48.6,51.4,74144,89981,33128,40460,62380,46377,9.5,13.5,8.3,8.7,5.5,37.8,16.4,24.3,9.2,12.3,78,7.8,6.1,1.7,1.4,5,31.6,20347,78.6,14.7,6.5,0.2,8.4
98102,23655,12849,10806,830,298,216,338,2350,8772,4151,2481,1051,1116,1510,485,57,33.6,6,75.8,2.5,0.7,9.4,0.2,0,15038,20410,56,44,75155,103436,63886,47582,65982,57058,8.4,0,8.9,9.4,4.1,63.8,12,19,2.5,2.7,40.4,4.4,24.9,18.3,6.5,5.5,24.4,17991,84.4,10.8,4.8,0,4
98103,48600,24011,24589,2712,1854,1384,1118,4097,14251,8606,5700,2620,2406,2355,783,714,33.9,5.2,80.1,1.4,0.2,7.5,0,0.2,24340,39489,48.8,51.2,81330,106014,51181,45620,70632,52657,7.7,5,8.1,8,9.5,65.6,11.3,16.4,2.6,4.1,50.3,8.3,22.7,5.1,6.1,7.5,25.8,33167,77.7,14.8,7.4,0.1,4
98105,45515,22688,22827,1435,1289,1217,7840,13040,6932,4320,3169,1412,1523,1991,709,638,23.3,4.8,65.1,1.7,0.5,20.7,0.3,0.3,16374,34982,50.2,49.8,49647,91786,32182,12970,63792,46165,31.9,6.6,35.5,37.9,14.5,55.6,17.7,21.3,1.8,3.6,37.1,5.8,23.7,17,8.1,8.2,24.6,22940,73.5,21.6,4.9,0,10.2
98106,24603,11902,12701,1671,1513,1243,1033,1873,4409,4143,3391,1681,1273,1459,731,183,36.1,11.6,46.6,12.3,0.4,16.8,2.8,0.2,10747,17326,47,53,53848,67124,28319,33530,49925,43045,16.2,21.1,14.9,14.1,20.4,38.3,22,22.3,6.6,10.9,60.1,12.8,16.9,2.4,3,4.8,28.2,13130,79.3,14.1,6.5,0.1,9.3
98107,23488,11848,11640,1344,625,565,378,857,8729,4192,2179,1190,1038,1612,578,201,33.9,5.5,83,1.4,0.2,5.9,0.1,0,12707,19581,49.7,50.3,77170,95689,49970,48798,68453,52390,7.6,8.6,7.5,7,11.8,59,15,19.6,3,3.5,49.8,7.3,20.5,6.2,8.8,7.4,27.5,16073,81.7,12.1,6,0.2,5.1
98108,24681,12451,12230,2136,1449,1572,1079,1487,4103,3767,3304,1423,1526,1567,961,307,35.9,12.6,24.2,14.9,1.1,40.4,1.1,0,8612,15482,50.2,49.8,53143,71222,24576,30296,41383,37349,21.2,39,15.7,15.2,18.6,29.1,28,17.4,6.4,19.2,57.4,12.2,20.7,2.7,3,4,28.1,12269,81.1,14.1,4.2,0.6,8.9
98109,24450,12486,11964,688,571,422,377,2358,9002,3817,2585,1004,1063,1606,557,400,33.4,4.6,74.2,3.3,0.5,12.9,0.1,0.2,15202,19879,47.6,52.4,85957,105832,61783,55316,81865,55519,8.6,3.5,9,9,8.6,64.7,11.4,20,0.7,3.1,41.9,4,21.3,20.4,4.4,7.9,23.7,17767,88.8,6.7,4.5,0,3
98112,22230,11333,10897,1197,1042,988,849,1262,4166,3697,2984,1264,1593,2089,799,300,39.9,3.6,81.2,3.8,0.1,6.6,0,0.2,10930,17329,51,49,103816,162949,76937,58194,99339,66124,6.8,0.9,8,8.6,5.5,69.7,8,15.7,2.6,3.9,45.1,6.2,22.4,8.8,6.8,10.7,23.4,12734,76.5,13.8,9.6,0.2,5.3
98115,50134,24798,25336,3017,2976,2572,1702,3230,9784,7839,6844,3277,3041,3550,1380,922,37.4,4,79.7,1.6,0.2,9.8,0,0.1,22085,37513,49.7,50.3,92039,119611,51174,48193,80367,61573,9.7,6.3,10.5,11.4,5.3,67.1,11.9,15.1,2.6,3.3,54.2,8.4,19.3,3.4,7.5,7.3,25.5,28645,75.8,18.8,5.4,0,5.1
98116,23968,11252,12716,1208,1702,808,1077,565,3608,4114,3983,1653,1791,1974,840,645,42.5,4.1,82.8,2,0.8,5.4,0.1,0.1,12313,18501,46.3,53.7,77781,103895,50640,52445,82965,62159,6.5,6.9,6.4,7,3.4,58.9,14.8,16.8,4.5,4.9,60,9.9,15.2,3.8,4.3,6.8,28.3,13416,75.8,15,8.6,0.6,3.9
