lat_group,long_group,lat+long_group,
47.66103125,-122.197,"47.66103125000012,-122.1969999999999",
47.30577411,-122.393,"47.30577410714289,-122.393",
47.64992946,-122.337,"47.64992946428583,-122.3369999999999",
47.72764196,-122.197,"47.72764196428585,-122.1969999999999",
47.46119911,-122.197,"47.46119910714293,-122.1969999999999",
47.55001339,-122.225,"47.55001339285724,-122.2249999999999",
47.74984554,-122.309,"47.74984553571443,-122.3089999999999",
47.27246875,-122.337,"47.27246875000003,-122.3369999999999",
47.55001339,-122.365,"47.55001339285724,-122.365",
47.53891161,-121.917,"47.53891160714295,-121.9169999999999",
47.40569018,-122.001,"47.40569017857149,-122.0009999999999",
47.50560625,-122.197,"47.50560625000008,-122.1969999999999",
47.48340268,-122.169,"47.48340267857151,-122.1689999999999",
47.53891161,-122.225,"47.53891160714295,-122.2249999999999",
47.57221696,-122.393,"47.57221696428581,-122.393",
47.46119911,-122.337,"47.46119910714293,-122.3369999999999",
47.35018125,-122.057,"47.35018125000005,-122.0569999999999",
47.31687589,-122.281,"47.31687589285718,-122.2809999999999",
47.48340268,-122.309,"47.48340267857151,-122.3089999999999",
47.57221696,-122.197,"47.57221696428581,-122.1969999999999",
47.58331875,-122.029,"47.5833187500001,-122.0289999999999",
47.39458839,-122.309,"47.3945883928572,-122.3089999999999",
47.37238482,-122.225,"47.37238482142862,-122.2249999999999",
47.51670804,-122.365,"47.51670803571437,-122.365",
47.70543839,-122.001,"47.70543839285727,-122.0009999999999",
47.40569018,-122.225,"47.40569017857149,-122.2249999999999",
47.45009732,-122.365,"47.45009732142864,-122.365",
47.51670804,-122.169,"47.51670803571437,-122.1689999999999",
47.57221696,-121.889,"47.57221696428581,-121.8889999999999",
47.56111518,-122.309,"47.56111517857153,-122.3089999999999",
47.64992946,-122.197,"47.64992946428583,-122.1969999999999",
47.35018125,-121.945,"47.35018125000005,-121.9449999999999",
47.76094732,-122.029,"47.76094732142872,-122.0289999999999",
47.33907946,-122.337,"47.33907946428576,-122.3369999999999",
47.31687589,-122.309,"47.31687589285718,-122.3089999999999",
47.52780982,-122.365,"47.52780982142866,-122.365",
47.31687589,-122.225,"47.31687589285718,-122.2249999999999",
47.63882768,-122.085,"47.63882767857154,-122.0849999999999",
47.28357054,-122.225,"47.28357053571432,-122.2249999999999",
47.43899554,-122.113,"47.43899553571435,-122.1129999999999",
47.46119911,-121.721,"47.46119910714293,-121.7209999999998",
47.53891161,-122.281,"47.53891160714295,-122.2809999999999",
47.52780982,-122.337,"47.52780982142866,-122.3369999999999",
47.47230089,-122.141,"47.47230089285722,-122.1409999999999",
47.43899554,-121.777,"47.43899553571435,-121.7769999999998",
47.41679196,-122.281,"47.41679196428578,-122.2809999999999",
47.59442054,-122.309,"47.59442053571439,-122.3089999999999",
47.47230089,-122.449,"47.47230089285722,-122.449",
47.40569018,-122.169,"47.40569017857149,-122.1689999999999",
47.68323482,-122.281,"47.6832348214287,-122.2809999999999",
47.72764196,-122.029,"47.72764196428585,-122.0289999999999",
47.32797768,-122.337,"47.32797767857147,-122.3369999999999",
47.66103125,-122.393,"47.66103125000012,-122.393",
47.41679196,-122.169,"47.41679196428578,-122.1689999999999",
47.47230089,-122.169,"47.47230089285722,-122.1689999999999",
47.76094732,-122.253,"47.76094732142872,-122.2529999999999",
47.38348661,-122.085,"47.38348660714291,-122.0849999999999",
47.39458839,-122.197,"47.3945883928572,-122.1969999999999",
47.50560625,-122.281,"47.50560625000008,-122.2809999999999",
47.61662411,-122.281,"47.61662410714297,-122.2809999999999",
47.74984554,-122.225,"47.74984553571443,-122.2249999999999",
47.38348661,-122.169,"47.38348660714291,-122.1689999999999",
47.76094732,-122.141,"47.76094732142872,-122.1409999999999",
47.55001339,-122.141,"47.55001339285724,-122.1409999999999",
47.42789375,-122.337,"47.42789375000007,-122.3369999999999",
47.71654018,-122.225,"47.71654017857156,-122.2249999999999",
47.53891161,-122.169,"47.53891160714295,-122.1689999999999",
47.59442054,-122.029,"47.59442053571439,-122.0289999999999",
47.35018125,-122.141,"47.35018125000005,-122.1409999999999",
47.43899554,-122.281,"47.43899553571435,-122.2809999999999",
47.60552232,-122.085,"47.60552232142868,-122.0849999999999",
47.35018125,-122.309,"47.35018125000005,-122.3089999999999",
47.69433661,-122.393,"47.69433660714299,-122.393",
47.62772589,-122.309,"47.62772589285726,-122.3089999999999",
47.64992946,-122.057,"47.64992946428583,-122.0569999999999",
47.60552232,-122.281,"47.60552232142868,-122.2809999999999",
47.52780982,-121.833,"47.52780982142866,-121.8329999999998",
47.55001339,-122.113,"47.55001339285724,-122.1129999999999",
47.73874375,-122.337,"47.73874375000014,-122.3369999999999",
47.67213304,-122.141,"47.67213303571441,-122.1409999999999",
47.51670804,-122.057,"47.51670803571437,-122.0569999999999",
47.26136696,-122.253,"47.26136696428574,-122.2529999999999",
47.49450446,-122.365,"47.4945044642858,-122.365",
47.59442054,-122.169,"47.59442053571439,-122.1689999999999",
47.67213304,-122.281,"47.67213303571441,-122.2809999999999",
47.41679196,-122.337,"47.41679196428578,-122.3369999999999",
47.67213304,-122.337,"47.67213303571441,-122.3369999999999",
47.56111518,-122.225,"47.56111517857153,-122.2249999999999",
47.76094732,-122.169,"47.76094732142872,-122.1689999999999",
47.74984554,-122.365,"47.74984553571443,-122.365",
47.49450446,-122.225,"47.4945044642858,-122.2249999999999",
47.38348661,-122.477,"47.38348660714291,-122.477",
47.53891161,-121.889,"47.53891160714295,-121.8889999999999",
47.49450446,-122.253,"47.4945044642858,-122.2529999999999",
47.47230089,-122.085,"47.47230089285722,-122.0849999999999",
47.36128304,-122.169,"47.36128303571434,-122.1689999999999",
47.77204911,-122.309,"47.772049107143,-122.3089999999999",
47.67213304,-121.861,"47.67213303571441,-121.8609999999998",
47.69433661,-122.169,"47.69433660714299,-122.1689999999999",
47.63882768,-121.973,"47.63882767857154,-121.9729999999999",
47.67213304,-122.197,"47.67213303571441,-122.1969999999999",
47.63882768,-122.029,"47.63882767857154,-122.0289999999999",
47.77204911,-122.337,"47.772049107143,-122.3369999999999",
47.28357054,-122.337,"47.28357053571432,-122.3369999999999",
47.58331875,-121.973,"47.5833187500001,-121.9729999999999",
47.36128304,-122.057,"47.36128303571434,-122.0569999999999",
47.74984554,-122.197,"47.74984553571443,-122.1969999999999",
47.72764196,-122.057,"47.72764196428585,-122.0569999999999",
47.62772589,-122.085,"47.62772589285726,-122.0849999999999",
47.77204911,-122.365,"47.772049107143,-122.365",
47.77204911,-121.889,"47.772049107143,-121.8889999999999",
47.73874375,-122.253,"47.73874375000014,-122.2529999999999",
47.59442054,-122.113,"47.59442053571439,-122.1129999999999",
47.56111518,-122.281,"47.56111517857153,-122.2809999999999",
47.17255268,-122.029,"47.17255267857144,-122.0289999999999",
47.48340268,-121.777,"47.48340267857151,-121.7769999999998",
47.58331875,-122.393,"47.5833187500001,-122.393",
47.31687589,-122.197,"47.31687589285718,-122.1969999999999",
47.42789375,-122.197,"47.42789375000007,-122.1969999999999",
47.40569018,-122.029,"47.40569017857149,-122.0289999999999",
47.40569018,-122.197,"47.40569017857149,-122.1969999999999",
47.50560625,-122.225,"47.50560625000008,-122.2249999999999",
47.70543839,-122.169,"47.70543839285727,-122.1689999999999",
47.57221696,-121.945,"47.57221696428581,-121.9449999999999",
47.59442054,-121.945,"47.59442053571439,-121.9449999999999",
47.57221696,-122.169,"47.57221696428581,-122.1689999999999",
47.63882768,-122.225,"47.63882767857154,-122.2249999999999",
47.43899554,-122.169,"47.43899553571435,-122.1689999999999",
47.71654018,-122.141,"47.71654017857156,-122.1409999999999",
47.77204911,-122.225,"47.772049107143,-122.2249999999999",
47.62772589,-122.029,"47.62772589285726,-122.0289999999999",
47.50560625,-122.393,"47.50560625000008,-122.393",
47.74984554,-122.085,"47.74984553571443,-122.0849999999999",
47.55001339,-122.085,"47.55001339285724,-122.0849999999999",
47.71654018,-122.253,"47.71654017857156,-122.2529999999999",
47.57221696,-122.113,"47.57221696428581,-122.1129999999999",
47.38348661,-122.449,"47.38348660714291,-122.449",
47.36128304,-122.085,"47.36128303571434,-122.0849999999999",
47.37238482,-122.113,"47.37238482142862,-122.1129999999999",
47.39458839,-122.169,"47.3945883928572,-122.1689999999999",
47.32797768,-122.365,"47.32797767857147,-122.365",
47.76094732,-122.365,"47.76094732142872,-122.365",
47.64992946,-121.917,"47.64992946428583,-121.9169999999999",
47.48340268,-122.253,"47.48340267857151,-122.2529999999999",
47.63882768,-122.057,"47.63882767857154,-122.0569999999999",
47.62772589,-122.057,"47.62772589285726,-122.0569999999999",
47.59442054,-122.057,"47.59442053571439,-122.0569999999999",
47.57221696,-122.281,"47.57221696428581,-122.2809999999999",
47.55001339,-122.393,"47.55001339285724,-122.393",
47.63882768,-122.169,"47.63882767857154,-122.1689999999999",
47.52780982,-122.393,"47.52780982142866,-122.393",
47.61662411,-122.001,"47.61662410714297,-122.0009999999999",
47.59442054,-121.973,"47.59442053571439,-121.9729999999999",
47.56111518,-122.085,"47.56111517857153,-122.0849999999999",
47.47230089,-122.197,"47.47230089285722,-122.1969999999999",
47.52780982,-121.889,"47.52780982142866,-121.8889999999999",
47.53891161,-121.861,"47.53891160714295,-121.8609999999998",
47.37238482,-122.141,"47.37238482142862,-122.1409999999999",
47.68323482,-122.197,"47.6832348214287,-122.1969999999999",
47.45009732,-122.281,"47.45009732142864,-122.2809999999999",
47.71654018,-122.113,"47.71654017857156,-122.1129999999999",
47.64992946,-122.029,"47.64992946428583,-122.0289999999999",
47.38348661,-122.225,"47.38348660714291,-122.2249999999999",
47.67213304,-122.169,"47.67213303571441,-122.1689999999999",
47.63882768,-122.281,"47.63882767857154,-122.2809999999999",
47.46119911,-122.225,"47.46119910714293,-122.2249999999999",
47.61662411,-122.197,"47.61662410714297,-122.1969999999999",
47.60552232,-121.945,"47.60552232142868,-121.9449999999999",
47.28357054,-122.197,"47.28357053571432,-122.1969999999999",
47.59442054,-122.085,"47.59442053571439,-122.0849999999999",
47.30577411,-122.029,"47.30577410714289,-122.0289999999999",
47.73874375,-122.197,"47.73874375000014,-122.1969999999999",
47.45009732,-122.197,"47.45009732142864,-122.1969999999999",
47.59442054,-122.001,"47.59442053571439,-122.0009999999999",
47.64992946,-122.421,"47.64992946428583,-122.421",
47.51670804,-122.113,"47.51670803571437,-122.1129999999999",
47.51670804,-121.833,"47.51670803571437,-121.8329999999998",
47.29467232,-122.085,"47.29467232142861,-122.0849999999999",
47.58331875,-122.169,"47.5833187500001,-122.1689999999999",
47.69433661,-122.029,"47.69433660714299,-122.0289999999999",
47.69433661,-121.861,"47.69433660714299,-121.8609999999998",
47.41679196,-122.001,"47.41679196428578,-122.0009999999999",
47.35018125,-122.225,"47.35018125000005,-122.2249999999999",
47.74984554,-122.029,"47.74984553571443,-122.0289999999999",
47.57221696,-122.421,"47.57221696428581,-122.421",
47.72764196,-122.169,"47.72764196428585,-122.1689999999999",
47.47230089,-121.749,"47.47230089285722,-121.7489999999998",
47.37238482,-122.057,"47.37238482142862,-122.0569999999999",
47.59442054,-122.281,"47.59442053571439,-122.2809999999999",
47.62772589,-121.973,"47.62772589285726,-121.9729999999999",
47.18365446,-121.973,"47.18365446428572,-121.9729999999999",
47.50560625,-121.777,"47.50560625000008,-121.7769999999998",
47.71654018,-122.029,"47.71654017857156,-122.0289999999999",
47.31687589,-122.113,"47.31687589285718,-122.1129999999999",
47.31687589,-122.001,"47.31687589285718,-122.0009999999999",
47.56111518,-122.029,"47.56111517857153,-122.0289999999999",
47.42789375,-122.281,"47.42789375000007,-122.2809999999999",
47.74984554,-122.253,"47.74984553571443,-122.2529999999999",
47.69433661,-122.337,"47.69433660714299,-122.3369999999999",
47.63882768,-122.393,"47.63882767857154,-122.393",
47.57221696,-122.001,"47.57221696428581,-122.0009999999999",
47.68323482,-122.113,"47.6832348214287,-122.1129999999999",
47.57221696,-122.029,"47.57221696428581,-122.0289999999999",
47.45009732,-121.777,"47.45009732142864,-121.7769999999998",
47.71654018,-122.337,"47.71654017857156,-122.3369999999999",
47.76094732,-122.281,"47.76094732142872,-122.2809999999999",
47.69433661,-122.141,"47.69433660714299,-122.1409999999999",
47.27246875,-122.309,"47.27246875000003,-122.3089999999999",
47.41679196,-122.309,"47.41679196428578,-122.3089999999999",
47.50560625,-122.337,"47.50560625000008,-122.3369999999999",
47.76094732,-122.085,"47.76094732142872,-122.0849999999999",
47.51670804,-122.281,"47.51670803571437,-122.2809999999999",
47.64992946,-122.113,"47.64992946428583,-122.1129999999999",
47.62772589,-122.113,"47.62772589285726,-122.1129999999999",
47.62772589,-122.197,"47.62772589285726,-122.1969999999999",
47.74984554,-122.281,"47.74984553571443,-122.2809999999999",
47.73874375,-122.113,"47.73874375000014,-122.1129999999999",
47.64992946,-122.309,"47.64992946428583,-122.3089999999999",
47.49450446,-121.777,"47.4945044642858,-121.7769999999998",
47.69433661,-122.001,"47.69433660714299,-122.0009999999999",
47.36128304,-122.001,"47.36128303571434,-122.0009999999999",
47.29467232,-122.337,"47.29467232142861,-122.3369999999999",
47.48340268,-122.225,"47.48340267857151,-122.2249999999999",
47.67213304,-122.029,"47.67213303571441,-122.0289999999999",
47.37238482,-122.197,"47.37238482142862,-122.1969999999999",
47.59442054,-122.197,"47.59442053571439,-122.1969999999999",
47.47230089,-122.281,"47.47230089285722,-122.2809999999999",
47.50560625,-122.113,"47.50560625000008,-122.1129999999999",
47.23916339,-121.973,"47.23916339285717,-121.9729999999999",
47.41679196,-122.197,"47.41679196428578,-122.1969999999999",
47.37238482,-122.281,"47.37238482142862,-122.2809999999999",
47.73874375,-122.309,"47.73874375000014,-122.3089999999999",
47.43899554,-121.749,"47.43899553571435,-121.7489999999998",
47.73874375,-121.973,"47.73874375000014,-121.9729999999999",
47.36128304,-122.197,"47.36128303571434,-122.1969999999999",
47.56111518,-122.141,"47.56111517857153,-122.1409999999999",
47.38348661,-122.197,"47.38348660714291,-122.1969999999999",
47.74984554,-122.057,"47.74984553571443,-122.0569999999999",
47.73874375,-122.085,"47.73874375000014,-122.0849999999999",
47.59442054,-122.393,"47.59442053571439,-122.393",
47.76094732,-121.945,"47.76094732142872,-121.9449999999999",
47.49450446,-122.169,"47.4945044642858,-122.1689999999999",
47.60552232,-122.197,"47.60552232142868,-122.1969999999999",
47.46119911,-122.141,"47.46119910714293,-122.1409999999999",
47.61662411,-122.113,"47.61662410714297,-122.1129999999999",
47.48340268,-122.281,"47.48340267857151,-122.2809999999999",
47.66103125,-122.365,"47.66103125000012,-122.365",
47.47230089,-122.001,"47.47230089285722,-122.0009999999999",
47.49450446,-122.337,"47.4945044642858,-122.3369999999999",
47.62772589,-122.001,"47.62772589285726,-122.0009999999999",
47.33907946,-122.057,"47.33907946428576,-122.0569999999999",
47.53891161,-122.197,"47.53891160714295,-122.1969999999999",
47.39458839,-122.141,"47.3945883928572,-122.1409999999999",
47.30577411,-122.001,"47.30577410714289,-122.0009999999999",
47.21695982,-121.973,"47.21695982142859,-121.9729999999999",
47.26136696,-122.225,"47.26136696428574,-122.2249999999999",
47.52780982,-122.281,"47.52780982142866,-122.2809999999999",
47.57221696,-122.057,"47.57221696428581,-122.0569999999999",
47.29467232,-122.281,"47.29467232142861,-122.2809999999999",
47.33907946,-122.197,"47.33907946428576,-122.1969999999999",
47.50560625,-122.309,"47.50560625000008,-122.3089999999999",
47.72764196,-122.337,"47.72764196428585,-122.3369999999999",
47.25026518,-121.945,"47.25026517857145,-121.9449999999999",
47.77204911,-122.197,"47.772049107143,-122.1969999999999",
47.38348661,-122.001,"47.38348660714291,-122.0009999999999",
47.26136696,-122.197,"47.26136696428574,-122.1969999999999",
47.39458839,-122.057,"47.3945883928572,-122.0569999999999",
47.50560625,-122.085,"47.50560625000008,-122.0849999999999",
47.48340268,-122.197,"47.48340267857151,-122.1969999999999",
47.36128304,-122.309,"47.36128303571434,-122.3089999999999",
47.70543839,-122.309,"47.70543839285727,-122.3089999999999",
47.67213304,-122.001,"47.67213303571441,-122.0009999999999",
47.38348661,-122.141,"47.38348660714291,-122.1409999999999",
47.59442054,-122.141,"47.59442053571439,-122.1409999999999",
47.76094732,-122.057,"47.76094732142872,-122.0569999999999",
47.69433661,-122.197,"47.69433660714299,-122.1969999999999",
47.32797768,-122.253,"47.32797767857147,-122.2529999999999",
47.53891161,-122.337,"47.53891160714295,-122.3369999999999",
47.37238482,-122.309,"47.37238482142862,-122.3089999999999",
47.69433661,-121.917,"47.69433660714299,-121.9169999999999",
47.56111518,-122.365,"47.56111517857153,-122.365",
47.43899554,-122.085,"47.43899553571435,-122.0849999999999",
47.30577411,-122.057,"47.30577410714289,-122.0569999999999",
47.56111518,-121.861,"47.56111517857153,-121.8609999999998",
47.70543839,-122.281,"47.70543839285727,-122.2809999999999",
47.66103125,-122.169,"47.66103125000012,-122.1689999999999",
47.58331875,-122.365,"47.5833187500001,-122.365",
47.35018125,-122.281,"47.35018125000005,-122.2809999999999",
47.72764196,-122.281,"47.72764196428585,-122.2809999999999",
47.51670804,-121.889,"47.51670803571437,-121.8889999999999",
47.31687589,-122.337,"47.31687589285718,-122.3369999999999",
47.28357054,-122.253,"47.28357053571432,-122.2529999999999",
47.32797768,-122.281,"47.32797767857147,-122.2809999999999",
47.31687589,-122.169,"47.31687589285718,-122.1689999999999",
47.56111518,-121.917,"47.56111517857153,-121.9169999999999",
47.70543839,-122.085,"47.70543839285727,-122.0849999999999",
47.70543839,-122.029,"47.70543839285727,-122.0289999999999",
47.27246875,-122.253,"47.27246875000003,-122.2529999999999",
47.62772589,-122.393,"47.62772589285726,-122.393",
47.64992946,-121.945,"47.64992946428583,-121.9449999999999",
47.49450446,-122.085,"47.4945044642858,-122.0849999999999",
47.55001339,-122.197,"47.55001339285724,-122.1969999999999",
47.32797768,-122.057,"47.32797767857147,-122.0569999999999",
47.52780982,-122.057,"47.52780982142866,-122.0569999999999",
47.47230089,-122.225,"47.47230089285722,-122.2249999999999",
47.62772589,-122.281,"47.62772589285726,-122.2809999999999",
47.45009732,-122.141,"47.45009732142864,-122.1409999999999",
47.68323482,-122.057,"47.6832348214287,-122.0569999999999",
47.62772589,-122.365,"47.62772589285726,-122.365",
47.52780982,-122.141,"47.52780982142866,-122.1409999999999",
47.51670804,-122.309,"47.51670803571437,-122.3089999999999",
47.50560625,-122.169,"47.50560625000008,-122.1689999999999",
47.52780982,-122.029,"47.52780982142866,-122.0289999999999",
47.76094732,-122.309,"47.76094732142872,-122.3089999999999",
47.45009732,-122.085,"47.45009732142864,-122.0849999999999",
47.26136696,-121.917,"47.26136696428574,-121.9169999999999",
47.48340268,-122.057,"47.48340267857151,-122.0569999999999",
47.67213304,-122.225,"47.67213303571441,-122.2249999999999",
47.43899554,-122.505,"47.43899553571435,-122.505",
47.63882768,-122.001,"47.63882767857154,-122.0009999999999",
47.55001339,-122.029,"47.55001339285724,-122.0289999999999",
47.53891161,-122.001,"47.53891160714295,-122.0009999999999",
47.55001339,-121.889,"47.55001339285724,-121.8889999999999",
47.57221696,-121.973,"47.57221696428581,-121.9729999999999",
47.40569018,-122.477,"47.40569017857149,-122.477",
47.45009732,-122.113,"47.45009732142864,-122.1129999999999",
47.46119911,-122.001,"47.46119910714293,-122.0009999999999",
47.57221696,-122.085,"47.57221696428581,-122.0849999999999",
47.62772589,-122.337,"47.62772589285726,-122.3369999999999",
47.68323482,-122.169,"47.6832348214287,-122.1689999999999",
47.33907946,-122.085,"47.33907946428576,-122.0849999999999",
47.53891161,-122.309,"47.53891160714295,-122.3089999999999",
47.29467232,-122.225,"47.29467232142861,-122.2249999999999",
