lat+long_group,Number of Predatory Lenders
"47.772049107143,-122.2529999999999",0
"47.57221696428581,-122.1409999999999",0
"47.46119910714293,-122.1689999999999",0
"47.71654017857156,-122.365",0
"47.55001339285724,-122.1689999999999",0
"47.73874375000014,-122.0289999999999",0
"47.52780982142866,-121.9449999999999",0
"47.38348660714291,-122.2809999999999",0
"47.64992946428583,-122.365",0
"47.56111517857153,-122.1689999999999",0
"47.2058580357143,-122.0009999999999",0
"47.47230089285722,-122.1129999999999",0
"47.48340267857151,-122.3369999999999",1
"47.71654017857156,-122.1969999999999",1
"47.60552232142868,-122.0289999999999",0
"47.46119910714293,-122.0289999999999",0
"47.71654017857156,-122.1689999999999",1
"47.40569017857149,-122.3369999999999",0
"47.56111517857153,-122.1129999999999",0
"47.70543839285727,-122.2249999999999",0
"47.74984553571443,-122.3369999999999",0
"47.47230089285722,-122.3369999999999",1
"47.76094732142872,-122.3369999999999",0
"47.60552232142868,-122.3089999999999",0
"47.5833187500001,-122.3089999999999",0
"47.19475625000001,-122.0009999999999",0
"47.53891160714295,-122.365",0
"47.70543839285727,-122.1969999999999",1
"47.38348660714291,-122.0289999999999",0
"47.69433660714299,-122.1129999999999",0
"47.66103125000012,-122.1969999999999",0
"47.30577410714289,-122.393",0
"47.64992946428583,-122.3369999999999",0
"47.72764196428585,-122.1969999999999",0
"47.46119910714293,-122.1969999999999",0
"47.55001339285724,-122.2249999999999",0
"47.74984553571443,-122.3089999999999",0
"47.27246875000003,-122.3369999999999",0
"47.55001339285724,-122.365",0
"47.53891160714295,-121.9169999999999",0
"47.40569017857149,-122.0009999999999",0
"47.50560625000008,-122.1969999999999",0
"47.48340267857151,-122.1689999999999",0
"47.53891160714295,-122.2249999999999",0
"47.57221696428581,-122.393",0
"47.46119910714293,-122.3369999999999",1
"47.35018125000005,-122.0569999999999",0
"47.31687589285718,-122.2809999999999",0
"47.48340267857151,-122.3089999999999",0
"47.57221696428581,-122.1969999999999",0
"47.5833187500001,-122.0289999999999",0
"47.3945883928572,-122.3089999999999",0
"47.37238482142862,-122.2249999999999",1
"47.51670803571437,-122.365",0
"47.70543839285727,-122.0009999999999",0
"47.40569017857149,-122.2249999999999",0
"47.45009732142864,-122.365",0
"47.51670803571437,-122.1689999999999",0
"47.57221696428581,-121.8889999999999",0
"47.56111517857153,-122.3089999999999",0
"47.64992946428583,-122.1969999999999",0
"47.35018125000005,-121.9449999999999",0
"47.76094732142872,-122.0289999999999",0
"47.33907946428576,-122.3369999999999",0
"47.31687589285718,-122.3089999999999",1
"47.52780982142866,-122.365",0
"47.31687589285718,-122.2249999999999",0
"47.63882767857154,-122.0849999999999",0
"47.28357053571432,-122.2249999999999",0
"47.43899553571435,-122.1129999999999",0
"47.46119910714293,-121.7209999999998",0
"47.53891160714295,-122.2809999999999",0
"47.52780982142866,-122.3369999999999",0
"47.47230089285722,-122.1409999999999",0
"47.43899553571435,-121.7769999999998",0
"47.41679196428578,-122.2809999999999",0
"47.59442053571439,-122.3089999999999",0
"47.47230089285722,-122.449",0
"47.40569017857149,-122.1689999999999",0
"47.6832348214287,-122.2809999999999",0
"47.72764196428585,-122.0289999999999",0
"47.32797767857147,-122.3369999999999",0
"47.66103125000012,-122.393",0
"47.41679196428578,-122.1689999999999",0
"47.47230089285722,-122.1689999999999",0
"47.76094732142872,-122.2529999999999",0
"47.38348660714291,-122.0849999999999",0
"47.3945883928572,-122.1969999999999",0
"47.50560625000008,-122.2809999999999",0
"47.61662410714297,-122.2809999999999",0
"47.74984553571443,-122.2249999999999",0
"47.38348660714291,-122.1689999999999",0
"47.76094732142872,-122.1409999999999",0
"47.55001339285724,-122.1409999999999",0
"47.42789375000007,-122.3369999999999",0
"47.71654017857156,-122.2249999999999",0
"47.53891160714295,-122.1689999999999",0
"47.59442053571439,-122.0289999999999",0
"47.35018125000005,-122.1409999999999",0
"47.43899553571435,-122.2809999999999",0
"47.60552232142868,-122.0849999999999",0
"47.35018125000005,-122.3089999999999",0
"47.69433660714299,-122.393",0
"47.62772589285726,-122.3089999999999",0
"47.64992946428583,-122.0569999999999",0
"47.60552232142868,-122.2809999999999",0
"47.52780982142866,-121.8329999999998",0
"47.55001339285724,-122.1129999999999",0
"47.73874375000014,-122.3369999999999",0
"47.67213303571441,-122.1409999999999",0
"47.51670803571437,-122.0569999999999",0
"47.26136696428574,-122.2529999999999",0
"47.4945044642858,-122.365",0
"47.59442053571439,-122.1689999999999",0
"47.67213303571441,-122.2809999999999",0
"47.41679196428578,-122.3369999999999",0
"47.67213303571441,-122.3369999999999",0
"47.56111517857153,-122.2249999999999",0
"47.76094732142872,-122.1689999999999",0
"47.74984553571443,-122.365",0
"47.4945044642858,-122.2249999999999",0
"47.38348660714291,-122.477",0
"47.53891160714295,-121.8889999999999",0
"47.4945044642858,-122.2529999999999",0
"47.47230089285722,-122.0849999999999",0
"47.36128303571434,-122.1689999999999",0
"47.772049107143,-122.3089999999999",0
"47.67213303571441,-121.8609999999998",0
"47.69433660714299,-122.1689999999999",0
"47.63882767857154,-121.9729999999999",0
"47.67213303571441,-122.1969999999999",0
"47.63882767857154,-122.0289999999999",0
"47.772049107143,-122.3369999999999",0
"47.28357053571432,-122.3369999999999",0
"47.5833187500001,-121.9729999999999",0
"47.36128303571434,-122.0569999999999",0
"47.74984553571443,-122.1969999999999",0
"47.72764196428585,-122.0569999999999",0
"47.62772589285726,-122.0849999999999",0
"47.772049107143,-122.365",0
"47.772049107143,-121.8889999999999",0
"47.73874375000014,-122.2529999999999",0
"47.59442053571439,-122.1129999999999",0
"47.56111517857153,-122.2809999999999",0
"47.17255267857144,-122.0289999999999",0
"47.48340267857151,-121.7769999999998",0
"47.5833187500001,-122.393",0
"47.31687589285718,-122.1969999999999",0
"47.42789375000007,-122.1969999999999",0
"47.40569017857149,-122.0289999999999",0
"47.40569017857149,-122.1969999999999",0
"47.50560625000008,-122.2249999999999",0
"47.70543839285727,-122.1689999999999",1
"47.57221696428581,-121.9449999999999",0
"47.59442053571439,-121.9449999999999",0
"47.57221696428581,-122.1689999999999",0
"47.63882767857154,-122.2249999999999",0
"47.43899553571435,-122.1689999999999",0
"47.71654017857156,-122.1409999999999",0
"47.772049107143,-122.2249999999999",0
"47.62772589285726,-122.0289999999999",0
"47.50560625000008,-122.393",0
"47.74984553571443,-122.0849999999999",0
"47.55001339285724,-122.0849999999999",0
"47.71654017857156,-122.2529999999999",0
"47.57221696428581,-122.1129999999999",0
"47.38348660714291,-122.449",0
"47.36128303571434,-122.0849999999999",0
"47.37238482142862,-122.1129999999999",0
"47.3945883928572,-122.1689999999999",0
"47.32797767857147,-122.365",0
"47.76094732142872,-122.365",0
"47.64992946428583,-121.9169999999999",0
"47.48340267857151,-122.2529999999999",0
"47.63882767857154,-122.0569999999999",0
"47.62772589285726,-122.0569999999999",0
"47.59442053571439,-122.0569999999999",0
"47.57221696428581,-122.2809999999999",0
"47.55001339285724,-122.393",0
"47.63882767857154,-122.1689999999999",0
"47.52780982142866,-122.393",0
"47.61662410714297,-122.0009999999999",0
"47.59442053571439,-121.9729999999999",0
"47.56111517857153,-122.0849999999999",0
"47.47230089285722,-122.1969999999999",0
"47.52780982142866,-121.8889999999999",0
"47.53891160714295,-121.8609999999998",0
"47.37238482142862,-122.1409999999999",0
"47.6832348214287,-122.1969999999999",0
"47.45009732142864,-122.2809999999999",0
"47.71654017857156,-122.1129999999999",0
"47.64992946428583,-122.0289999999999",0
"47.38348660714291,-122.2249999999999",1
"47.67213303571441,-122.1689999999999",0
"47.63882767857154,-122.2809999999999",0
"47.46119910714293,-122.2249999999999",0
"47.61662410714297,-122.1969999999999",1
"47.60552232142868,-121.9449999999999",0
"47.28357053571432,-122.1969999999999",0
"47.59442053571439,-122.0849999999999",0
"47.30577410714289,-122.0289999999999",0
"47.73874375000014,-122.1969999999999",0
"47.45009732142864,-122.1969999999999",0
"47.59442053571439,-122.0009999999999",0
"47.64992946428583,-122.421",0
"47.51670803571437,-122.1129999999999",0
"47.51670803571437,-121.8329999999998",0
"47.29467232142861,-122.0849999999999",0
"47.5833187500001,-122.1689999999999",0
"47.69433660714299,-122.0289999999999",0
"47.69433660714299,-121.8609999999998",0
"47.41679196428578,-122.0009999999999",0
"47.35018125000005,-122.2249999999999",0
"47.74984553571443,-122.0289999999999",0
"47.57221696428581,-122.421",0
"47.72764196428585,-122.1689999999999",0
"47.47230089285722,-121.7489999999998",0
"47.37238482142862,-122.0569999999999",0
"47.59442053571439,-122.2809999999999",0
"47.62772589285726,-121.9729999999999",0
"47.18365446428572,-121.9729999999999",0
"47.50560625000008,-121.7769999999998",0
"47.71654017857156,-122.0289999999999",0
"47.31687589285718,-122.1129999999999",0
"47.31687589285718,-122.0009999999999",0
"47.56111517857153,-122.0289999999999",0
"47.42789375000007,-122.2809999999999",0
"47.74984553571443,-122.2529999999999",0
"47.69433660714299,-122.3369999999999",0
"47.63882767857154,-122.393",0
"47.57221696428581,-122.0009999999999",0
"47.6832348214287,-122.1129999999999",0
"47.57221696428581,-122.0289999999999",0
"47.45009732142864,-121.7769999999998",0
"47.71654017857156,-122.3369999999999",0
"47.76094732142872,-122.2809999999999",0
"47.69433660714299,-122.1409999999999",0
"47.27246875000003,-122.3089999999999",0
"47.41679196428578,-122.3089999999999",0
"47.50560625000008,-122.3369999999999",0
"47.76094732142872,-122.0849999999999",0
"47.51670803571437,-122.2809999999999",0
"47.64992946428583,-122.1129999999999",0
"47.62772589285726,-122.1129999999999",0
"47.62772589285726,-122.1969999999999",0
"47.74984553571443,-122.2809999999999",0
"47.73874375000014,-122.1129999999999",0
"47.64992946428583,-122.3089999999999",0
"47.4945044642858,-121.7769999999998",0
"47.69433660714299,-122.0009999999999",0
"47.36128303571434,-122.0009999999999",0
"47.29467232142861,-122.3369999999999",0
"47.48340267857151,-122.2249999999999",0
"47.67213303571441,-122.0289999999999",0
"47.37238482142862,-122.1969999999999",1
"47.59442053571439,-122.1969999999999",0
"47.47230089285722,-122.2809999999999",0
"47.50560625000008,-122.1129999999999",0
"47.23916339285717,-121.9729999999999",0
"47.41679196428578,-122.1969999999999",0
"47.37238482142862,-122.2809999999999",0
"47.73874375000014,-122.3089999999999",0
"47.43899553571435,-121.7489999999998",0
"47.73874375000014,-121.9729999999999",0
"47.36128303571434,-122.1969999999999",1
"47.56111517857153,-122.1409999999999",0
"47.38348660714291,-122.1969999999999",1
"47.74984553571443,-122.0569999999999",0
"47.73874375000014,-122.0849999999999",0
"47.59442053571439,-122.393",0
"47.76094732142872,-121.9449999999999",0
"47.4945044642858,-122.1689999999999",0
"47.60552232142868,-122.1969999999999",1
"47.46119910714293,-122.1409999999999",0
"47.61662410714297,-122.1129999999999",0
"47.48340267857151,-122.2809999999999",0
"47.66103125000012,-122.365",0
"47.47230089285722,-122.0009999999999",0
"47.4945044642858,-122.3369999999999",0
"47.62772589285726,-122.0009999999999",0
"47.33907946428576,-122.0569999999999",0
"47.53891160714295,-122.1969999999999",0
"47.3945883928572,-122.1409999999999",0
"47.30577410714289,-122.0009999999999",0
"47.21695982142859,-121.9729999999999",0
"47.26136696428574,-122.2249999999999",0
"47.52780982142866,-122.2809999999999",0
"47.57221696428581,-122.0569999999999",0
"47.29467232142861,-122.2809999999999",0
"47.33907946428576,-122.1969999999999",0
"47.50560625000008,-122.3089999999999",0
"47.72764196428585,-122.3369999999999",0
"47.25026517857145,-121.9449999999999",0
"47.772049107143,-122.1969999999999",0
"47.38348660714291,-122.0009999999999",0
"47.26136696428574,-122.1969999999999",0
"47.3945883928572,-122.0569999999999",0
"47.50560625000008,-122.0849999999999",0
"47.48340267857151,-122.1969999999999",0
"47.36128303571434,-122.3089999999999",0
"47.70543839285727,-122.3089999999999",0
"47.67213303571441,-122.0009999999999",0
"47.38348660714291,-122.1409999999999",0
"47.59442053571439,-122.1409999999999",0
"47.76094732142872,-122.0569999999999",0
"47.69433660714299,-122.1969999999999",0
"47.32797767857147,-122.2529999999999",0
"47.53891160714295,-122.3369999999999",0
"47.37238482142862,-122.3089999999999",0
"47.69433660714299,-121.9169999999999",0
"47.56111517857153,-122.365",0
"47.43899553571435,-122.0849999999999",0
"47.30577410714289,-122.0569999999999",0
"47.56111517857153,-121.8609999999998",0
"47.70543839285727,-122.2809999999999",0
"47.66103125000012,-122.1689999999999",0
"47.5833187500001,-122.365",0
"47.35018125000005,-122.2809999999999",0
"47.72764196428585,-122.2809999999999",0
"47.51670803571437,-121.8889999999999",0
"47.31687589285718,-122.3369999999999",0
"47.28357053571432,-122.2529999999999",0
"47.32797767857147,-122.2809999999999",0
"47.31687589285718,-122.1689999999999",0
"47.56111517857153,-121.9169999999999",0
"47.70543839285727,-122.0849999999999",0
"47.70543839285727,-122.0289999999999",0
"47.27246875000003,-122.2529999999999",0
"47.62772589285726,-122.393",0
"47.64992946428583,-121.9449999999999",0
"47.4945044642858,-122.0849999999999",0
"47.55001339285724,-122.1969999999999",0
"47.32797767857147,-122.0569999999999",0
"47.52780982142866,-122.0569999999999",0
"47.47230089285722,-122.2249999999999",0
"47.62772589285726,-122.2809999999999",0
"47.45009732142864,-122.1409999999999",0
"47.6832348214287,-122.0569999999999",0
"47.62772589285726,-122.365",0
"47.52780982142866,-122.1409999999999",0
"47.51670803571437,-122.3089999999999",0
"47.50560625000008,-122.1689999999999",0
"47.52780982142866,-122.0289999999999",0
"47.76094732142872,-122.3089999999999",0
"47.45009732142864,-122.0849999999999",0
"47.26136696428574,-121.9169999999999",0
"47.48340267857151,-122.0569999999999",0
"47.67213303571441,-122.2249999999999",0
"47.43899553571435,-122.505",0
"47.63882767857154,-122.0009999999999",0
"47.55001339285724,-122.0289999999999",0
"47.53891160714295,-122.0009999999999",0
"47.55001339285724,-121.8889999999999",0
"47.57221696428581,-121.9729999999999",0
"47.40569017857149,-122.477",0
"47.45009732142864,-122.1129999999999",0
"47.46119910714293,-122.0009999999999",0
"47.57221696428581,-122.0849999999999",0
"47.62772589285726,-122.3369999999999",0
"47.6832348214287,-122.1689999999999",0
"47.33907946428576,-122.0849999999999",0
"47.53891160714295,-122.3089999999999",0
"47.29467232142861,-122.2249999999999",0
"47.772049107143,-122.1129999999999",0
"47.30577410714289,-122.0849999999999",0
"47.73874375000014,-122.365",0
"47.32797767857147,-122.1969999999999",0
"47.47230089285722,-122.365",0
"47.3945883928572,-122.0849999999999",0
"47.74984553571443,-122.1129999999999",0
"47.46119910714293,-122.0849999999999",0
"47.47230089285722,-122.2529999999999",0
"47.33907946428576,-122.505",0
"47.30577410714289,-122.1409999999999",0
"47.5833187500001,-122.2249999999999",0
"47.772049107143,-122.2809999999999",0
"47.56111517857153,-122.1969999999999",0
"47.66103125000012,-121.9729999999999",0
"47.42789375000007,-122.0569999999999",0
"47.33907946428576,-122.365",0
"47.67213303571441,-122.421",0
"47.60552232142868,-122.0009999999999",0
"47.63882767857154,-122.3369999999999",0
"47.48340267857151,-122.477",0
"47.26136696428574,-122.0289999999999",0
"47.43899553571435,-122.365",0
"47.40569017857149,-122.0569999999999",0
"47.28357053571432,-122.2809999999999",0
"47.32797767857147,-122.0009999999999",0
"47.4945044642858,-122.1409999999999",0
"47.50560625000008,-122.365",0
"47.73874375000014,-122.2809999999999",0
"47.772049107143,-122.1689999999999",0
"47.63882767857154,-122.421",0
"47.27246875000003,-122.2809999999999",0
"47.73874375000014,-122.1409999999999",0
"47.36128303571434,-122.1409999999999",0
"47.67213303571441,-122.2529999999999",0
"47.64992946428583,-122.1409999999999",0
"47.6832348214287,-122.0849999999999",0
"47.37238482142862,-122.0849999999999",0
"47.46119910714293,-122.365",0
"47.30577410714289,-122.3089999999999",1
"47.63882767857154,-121.8889999999999",0
"47.60552232142868,-122.0569999999999",0
"47.38348660714291,-122.1129999999999",0
"47.64992946428583,-122.0849999999999",0
"47.66103125000012,-122.0289999999999",0
"47.60552232142868,-122.1689999999999",0
"47.26136696428574,-122.2809999999999",0
"47.66103125000012,-122.0849999999999",0
"47.70543839285727,-122.2529999999999",0
"47.57221696428581,-122.2249999999999",0
"47.4945044642858,-122.0569999999999",0
"47.53891160714295,-122.2529999999999",0
"47.31687589285718,-122.0289999999999",0
"47.46119910714293,-122.2809999999999",0
"47.62772589285726,-121.9449999999999",0
"47.30577410714289,-122.2809999999999",0
"47.59442053571439,-122.2529999999999",0
"47.46119910714293,-122.449",0
"47.36128303571434,-121.9169999999999",0
"47.72764196428585,-122.2529999999999",0
"47.26136696428574,-122.0849999999999",0
"47.22806160714288,-122.0289999999999",0
"47.52780982142866,-122.3089999999999",0
"47.46119910714293,-122.0569999999999",0
"47.71654017857156,-122.0569999999999",0
"47.74984553571443,-122.1409999999999",0
"47.6832348214287,-122.2249999999999",0
"47.74984553571443,-121.9169999999999",0
"47.72764196428585,-122.1409999999999",0
"47.31687589285718,-121.9169999999999",0
"47.61662410714297,-121.9449999999999",0
"47.51670803571437,-122.1409999999999",0
"47.42789375000007,-122.1409999999999",0
"47.56111517857153,-122.0009999999999",0
"47.30577410714289,-122.1689999999999",0
"47.72764196428585,-121.9449999999999",0
"47.71654017857156,-122.0009999999999",0
"47.5833187500001,-122.0849999999999",0
"47.74984553571443,-122.1689999999999",0
"47.51670803571437,-122.0289999999999",0
"47.69433660714299,-122.2249999999999",0
"47.26136696428574,-122.3089999999999",0
"47.67213303571441,-122.0569999999999",0
"47.30577410714289,-122.1129999999999",0
"47.35018125000005,-122.3369999999999",0
"47.73874375000014,-122.0569999999999",0
"47.66103125000012,-122.0569999999999",0
"47.62772589285726,-122.1409999999999",1
"47.31687589285718,-122.0849999999999",0
"47.48340267857151,-122.0289999999999",0
"47.71654017857156,-121.9449999999999",0
"47.41679196428578,-122.1409999999999",0
"47.4945044642858,-122.2809999999999",0
"47.42789375000007,-122.1129999999999",0
"47.32797767857147,-121.9169999999999",0
"47.52780982142866,-121.9169999999999",0
"47.72764196428585,-122.1129999999999",0
"47.55001339285724,-122.0569999999999",0
"47.28357053571432,-122.365",0
"47.27246875000003,-122.2249999999999",0
"47.21695982142859,-122.0009999999999",0
"47.37238482142862,-122.421",0
"47.41679196428578,-122.2249999999999",0
"47.27246875000003,-122.1969999999999",0
"47.53891160714295,-122.0289999999999",0
"47.48340267857151,-122.1129999999999",0
"47.64992946428583,-122.0009999999999",0
"47.45009732142864,-122.505",0
"47.64992946428583,-122.2249999999999",0
"47.33907946428576,-122.1689999999999",0
"47.32797767857147,-122.2249999999999",0
"47.72764196428585,-121.9169999999999",0
"47.55001339285724,-121.9449999999999",0
"47.70543839285727,-122.393",0
"47.28357053571432,-122.3089999999999",0
"47.6832348214287,-122.1409999999999",0
"47.32797767857147,-122.0849999999999",0
"47.35018125000005,-122.1129999999999",0
"47.31687589285718,-122.1409999999999",0
"47.69433660714299,-122.0569999999999",0
"47.70543839285727,-121.3569999999997",0
"47.71654017857156,-122.0849999999999",0
"47.53891160714295,-122.1129999999999",0
"47.3945883928572,-121.9729999999999",0
"47.31687589285718,-122.0569999999999",0
"47.48340267857151,-121.8049999999998",0
"47.47230089285722,-121.7209999999998",0
"47.17255267857144,-122.0009999999999",0
"47.52780982142866,-121.8049999999998",0
"47.47230089285722,-121.6929999999998",0
"47.70543839285727,-122.1409999999999",0
"47.36128303571434,-121.9449999999999",0
"47.22806160714288,-122.0849999999999",0
"47.38348660714291,-122.0569999999999",0
"47.45009732142864,-121.9729999999999",0
"47.45009732142864,-122.0009999999999",0
"47.45009732142864,-122.0289999999999",0
"47.71654017857156,-121.3289999999997",0
"47.56111517857153,-121.8889999999999",0
"47.76094732142872,-122.1129999999999",0
"47.21695982142859,-122.0569999999999",0
"47.38348660714291,-122.505",0
"47.33907946428576,-122.1129999999999",0
"47.66103125000012,-121.9449999999999",0
"47.32797767857147,-122.1409999999999",0
"47.59442053571439,-122.2249999999999",0
"47.5833187500001,-122.0569999999999",0
"47.71654017857156,-121.8889999999999",0
"47.51670803571437,-121.8609999999998",0
"47.46119910714293,-121.7489999999998",0
"47.42789375000007,-122.0849999999999",0
"47.772049107143,-121.9169999999999",0
"47.47230089285722,-122.0289999999999",0
"47.70543839285727,-121.9169999999999",0
"47.43899553571435,-122.449",0
"47.63882767857154,-122.1969999999999",0
"47.15034910714286,-121.6369999999998",0
"47.32797767857147,-122.1129999999999",0
"47.47230089285722,-121.7769999999998",0
"47.40569017857149,-122.2809999999999",0
"47.3945883928572,-122.3369999999999",0
"47.19475625000001,-121.9729999999999",0
"47.48340267857151,-121.7489999999998",0
"47.76094732142872,-122.1969999999999",0
"47.2058580357143,-121.9729999999999",0
"47.41679196428578,-122.0289999999999",0
"47.3945883928572,-122.2809999999999",0
"47.53891160714295,-122.1409999999999",0
"47.3945883928572,-122.0289999999999",0
"47.45009732142864,-122.449",0
"47.60552232142868,-122.2249999999999",0
"47.56111517857153,-122.2529999999999",0
"47.63882767857154,-121.9449999999999",0
"47.41679196428578,-122.0569999999999",0
"47.47230089285722,-122.0569999999999",0
"47.40569017857149,-122.1129999999999",0
"47.45009732142864,-122.2249999999999",0
"47.33907946428576,-121.8889999999999",0
"47.48340267857151,-122.365",0
"47.56111517857153,-121.9449999999999",0
"47.46119910714293,-122.1129999999999",0
"47.62772589285726,-122.1689999999999",0
"47.61662410714297,-122.3369999999999",1
"47.6832348214287,-121.9169999999999",0
"47.32797767857147,-122.0289999999999",0
"47.772049107143,-122.0569999999999",0
"47.36128303571434,-121.9729999999999",0
"47.71654017857156,-121.9729999999999",0
"47.61662410714297,-122.1689999999999",0
"47.52780982142866,-121.7489999999998",0
"47.772049107143,-122.1409999999999",0
"47.45009732142864,-121.7209999999998",0
"47.70543839285727,-121.9729999999999",0
"47.36128303571434,-122.2249999999999",0
"47.47230089285722,-122.3089999999999",0
"47.35018125000005,-122.477",0
"47.26136696428574,-121.9449999999999",0
"47.40569017857149,-122.0849999999999",0
"47.3945883928572,-122.449",0
"47.41679196428578,-122.0849999999999",0
"47.60552232142868,-121.9729999999999",0
"47.19475625000001,-122.0289999999999",0
"47.27246875000003,-122.0569999999999",0
"47.33907946428576,-122.1409999999999",0
"47.41679196428578,-121.9449999999999",0
"47.27246875000003,-122.365",0
"47.55001339285724,-121.8609999999998",0
"47.51670803571437,-121.7769999999998",0
"47.42789375000007,-122.0009999999999",0
"47.57221696428581,-121.9169999999999",0
"47.29467232142861,-122.1689999999999",0
"47.50560625000008,-122.477",0
"47.27246875000003,-122.0289999999999",0
"47.33907946428576,-122.2249999999999",0
"47.29467232142861,-122.0009999999999",0
"47.32797767857147,-122.393",0
"47.73874375000014,-121.9169999999999",0
"47.31687589285718,-121.8609999999998",0
"47.46119910714293,-122.477",0
"47.52780982142866,-121.7769999999998",0
"47.55001339285724,-122.2529999999999",0
"47.36128303571434,-122.505",0
"47.71654017857156,-121.9169999999999",0
"47.63882767857154,-122.1409999999999",1
"47.35018125000005,-122.505",0
"47.4945044642858,-121.8889999999999",0
"47.69433660714299,-121.8889999999999",0
"47.53891160714295,-121.9729999999999",0
"47.43899553571435,-121.4129999999998",0
"47.26136696428574,-122.1689999999999",0
"47.32797767857147,-122.505",0
"47.64992946428583,-122.2809999999999",0
"47.67213303571441,-122.1129999999999",0
"47.55001339285724,-121.9169999999999",0
"47.45009732142864,-122.477",0
"47.32797767857147,-121.8889999999999",0
"47.46119910714293,-121.9729999999999",0
"47.26136696428574,-122.1129999999999",0
"47.29467232142861,-122.0569999999999",0
"47.66103125000012,-122.1129999999999",0
"47.30577410714289,-122.2529999999999",0
"47.28357053571432,-121.9449999999999",0
